Unnamed: 0,title,rating,review_text,location,hotel,label,review_text_clean
0,Excelente y personal amable,5,Un hotel muy bueno.  El personal fue muy amable y profesional. Nos gustaban desayuno mucho también. El habitación cómoda y limpia. Volvimos a próxima vez en Seville por seguro. Lo recomiendo !! Y también ubicación muy cerca del centro :)))),Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,un hotel muy bueno. el personal fue muy amable y profesional. nos gustaban desayuno mucho también. el habitación cómoda y limpia. volvimos a próxima vez en seville por seguro. lo recomiendo !! y también ubicación muy cerca del centro
1,Céntrico,4,"Muy buen hotel al nivel de lo esperado, habitación junior suite, no muy grande pero con todo lo deseable para una estancia confortable, trato del personal agradable, ubicación muy buena para hacer turismo, super céntrico, igualmente el desayuno es estupendo.",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,"muy buen hotel al nivel de lo esperado, habitación junior suite, no muy grande pero con todo lo deseable para una estancia confortable, trato del personal agradable, ubicación muy buena para hacer turismo, super céntrico, igualmente el desayuno es estupendo."
2,Hotel excepcional,5,"Magnífico hotel. La verdad es que todo perfecto. Habitación amplia y actual, equipo amable y eficiente y desayuno magnífico con un patio precioso. A parte, está cerca de todo. el mejor 4 estrellas urbano en el que he estado.",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,"magnífico hotel. la verdad es que todo perfecto. habitación amplia y actual, equipo amable y eficiente y desayuno magnífico con un patio precioso. a parte, está cerca de todo. el mejor 4 estrellas urbano en el que he estado."
3,WOW!!,5,"Hotel hermoso, buen diseño, original, limpio. Servicio excelente y muy buena ubicación, justo enfrente tiene un carrefour express, rodeado de tiendas y las pizzas de la esquina estan buenísimas!! SUPER RECOMENDADO!",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,"hotel hermoso, buen diseño, original, limpio. servicio excelente y muy buena ubicación, justo enfrente tiene un carrefour express, rodeado de tiendas y las pizzas de la esquina estan buenísimas!! super recomendado!"
4,Magnifico,5,Magnífica ubicación en pleno centro de Sevilla para recorrer la ciudad caminando. Habitaciones perfectas con gran cama. Diseño típico de estilo actualizado. El desayuno muy completo y bueno en un lugar único. Felicidades por este hotel!!! Repetiré,Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,magnífica ubicación en pleno centro de sevilla para recorrer la ciudad caminando. habitaciones perfectas con gran cama. diseño típico de estilo actualizado. el desayuno muy completo y bueno en un lugar único. felicidades por este hotel!!! repetiré
5,Mejor hotel de ciudad en Sevilla,5,"Si estás buscando un hotel para alojarte en el centro de Sevilla, este cumplirá tus expectativas, las habitaciones son increíbles, la decoración tiene mucho encanto y el personal es bastante amable. La experiencia fue de 10!",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,"si estás buscando un hotel para alojarte en el centro de sevilla, este cumplirá tus expectativas, las habitaciones son increíbles, la decoración tiene mucho encanto y el personal es bastante amable. la experiencia fue de 10!"
6,Ubicación y comodidad,4,"Gran ubicación y una enorme comodidad. La cama es de súper lujo, el baño muy limpio y bien surtido de amenities, y el hotel está situado a 5 minutos del centro y a pesar de eso, silencioso. Es algo más caro que otros hoteles de categoría similar en la misma zona. Aún así, es recomendable",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,"gran ubicación y una enorme comodidad. la cama es de súper lujo, el baño muy limpio y bien surtido de amenities, y el hotel está situado a 5 minutos del centro y a pesar de eso, silencioso. es algo más caro que otros hoteles de categoría similar en la misma zona. aún así, es recomendable"
7,Muy buena relación calidad-precio,5,"Precioso hotel en pleno centro de Sevilla, entre Las Setas y la Catedral. Servicio muy profesional, buen desayuno y camas muy cómodas. Decoración muy cuidada. Muy buena relación calidad-precio. Sólo un matiz importante: no se puede acceder en coche, está en una zona totalmente peatonal. Pero la distancia al parking más cercano es perfectamente asumible si no vas muy cargado. ",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,"precioso hotel en pleno centro de sevilla, entre las setas y la catedral. servicio muy profesional, buen desayuno y camas muy cómodas. decoración muy cuidada. muy buena relación calidad precio. sólo un matiz importante no se puede acceder en coche, está en una zona totalmente peatonal. pero la distancia al parking más cercano es perfectamente asumible si no vas muy cargado."
8,Lo mejor su personal,5,"Como todos los hoteles de la cadena, un 10. Habitación elegante y limpísima, como el baño. Amplia y camas muy cómodas. Pero lo mejor su personal, recepción y el personal del comedor de desayunos muy amables y competentes, repito que lo mejor del hotel. Muy buena ubicación, cerca de todo.",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,"como todos los hoteles de la cadena, un 10. habitación elegante y limpísima, como el baño. amplia y camas muy cómodas. pero lo mejor su personal, recepción y el personal del comedor de desayunos muy amables y competentes, repito que lo mejor del hotel. muy buena ubicación, cerca de todo."
9,HOTEL PRECIOSO,5,"Empiezo por lo menos agradable: no es posible acceder en coche, ni tan siquiera en taxi, pues la calle es muy estrecha y completamente peatonal. La mejor opción es dejar el coche en un parking cercano y un taxi a la plaza de la Encarnación (las Setas). De ahí, por la calle Puente y Pellón hay apenas 100 metros al hotel. Por lo demás, la situación no puede ser mejor: a tiro de piedra de todo lo interesante del centro de Sevilla: monumentos, restaurantes, comercios...Y el hotel es precioso, muy nuevo y decorado con excelente gusto. Se respira limpieza por todo el recinto. Personal muy correcto y amable. Veo que los precios fluctúan mucho en función de los días de la semana elegidos y/o la temporada. En nuestro caso nos resultó baratísimo.  En definitiva, se ha convertido en…",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1,"empiezo por lo menos agradable no es posible acceder en coche, ni tan siquiera en taxi, pues la calle es muy estrecha y completamente peatonal. la mejor opción es dejar el coche en un parking cercano y un taxi a la plaza de la encarnación las setas . de ahí, por la calle puente y pellón hay apenas 100 metros al hotel. por lo demás, la situación no puede ser mejor a tiro de piedra de todo lo interesante del centro de sevilla monumentos, restaurantes, comercios...y el hotel es precioso, muy nuevo y decorado con excelente gusto. se respira limpieza por todo el recinto. personal muy correcto y amable. veo que los precios fluctúan mucho en función de los días de la semana elegidos y o la temporada. en nuestro caso nos resultó baratísimo. en definitiva, se ha convertido en"
